Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
VA,Female,Right-Handed,Dancing,1000.0,January,Soft drink (caffeinated),Other,8.0,0.0,0.0,Undergraduate degree
VA,Female,Right-Handed,Baseball/Softball,700.0,May,Water,Other,9.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Soccer,900.0,April,Water,Physical education,12.0,0.0,3.0,Graduate degree
VA,Male,Right-Handed,Baseball/Softball,321.0,June,Water,Physical education,9.0,25.0,25.0,Graduate degree
VA,Female,Right-Handed,Dancing,358.0,September,Water,Other,11.0,10.0,10.0,Graduate degree
VA,Female,Ambidextrous,Basketball,1000.0,April,Water,English,6.5,20.0,0.0,Undergraduate degree
VA,Male,Ambidextrous,Basketball,750.0,March,Sports drink,Mathematics and statistics,11.0,0.0,0.0,Undergraduate degree
VA,Male,Left-Handed,Football (American),364.0,December,Water,English,9.0,20.0,20.0,Graduate degree
VA,Male,Right-Handed,Other activities/sports,500.0,February,Soft drink (caffeinated),Other,9.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Running/Jogging,904.0,September,Water,English,7.0,0.0,0.0,Undergraduate degree
VA,Male,Right-Handed,Cycling,300.0,March,Tea,Computers and technology,8.0,8.0,8.0,Graduate degree
VA,Male,Right-Handed,Basketball,0.0,May,Water,History,12.0,0.0,0.0,Graduate degree
VA,Female,Left-Handed,Athletics (Track & Field),800.0,June,Water,History,9.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Swimming,100.0,May,Tea,English,9.0,9.0,2.0,Graduate degree
VA,Female,Right-Handed,Rowing,1000.0,February,Water,Languages,10.0,15.0,3.0,Graduate degree
VA,Female,Right-Handed,Lacrosse,401.0,October,Coffee,Science,9.0,0.0,0.0,Graduate degree
VA,Female,Left-Handed,Soccer,1000.0,March,Water,Mathematics and statistics,10.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Tennis,600.0,January,Water,Social studies,8.0,10.0,2.0,Graduate degree
VA,Male,Left-Handed,Other activities/sports,877.0,July,Water,Music,6.0,0.0,2.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,631.0,June,Water,Music,9.0,12.0,12.0,Undergraduate degree
VA,Female,Right-Handed,Dancing,4.0,June,Water,Music,8.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Running/Jogging,887.0,November,Water,Social studies,7.0,10.0,10.0,Some college
VA,Female,Right-Handed,Other activities/sports,738.0,December,Water,Languages,9.0,5.0,0.0,Graduate degree
VA,Female,Ambidextrous,Other activities/sports,615.0,September,Water,Science,8.5,0.0,3.0,Graduate degree
VA,Male,Right-Handed,Athletics (Track & Field),1000.0,December,Juice,Physical education,8.0,0.0,0.0,Graduate degree
